change_type,doc_id,meeting_date,fiscal_year,source_system,doc_type,meeting_type,title
added,destinyhosted__20260421_947/AGENDApacket_04-21-26_0520_946.pdf__agenda_packet,2026-04-21,2026,destinyhosted,agenda_packet,other,DOWNLOAD PDF PACKET
added,destinyhosted__20260413_970/AGENDApacket_04-13-26_1246_969.pdf__agenda_packet,2026-04-13,2026,destinyhosted,agenda_packet,other,DOWNLOAD PDF PACKET
added,destinyhosted__20260407_946/AGENDApacket_04-07-26_0501_945.pdf__agenda_packet,2026-04-07,2026,destinyhosted,agenda_packet,other,DOWNLOAD PDF PACKET
added,destinyhosted__20260327_965/AGENDApacket_03-27-26_0505_964.pdf__agenda_packet,2026-03-27,2026,destinyhosted,agenda_packet,other,DOWNLOAD PDF PACKET
added,laserfiche__547675__minutes,2026-03-17,2026,laserfiche,minutes,regular,03-17-2026 Minutes
added,destinyhosted__20260317_945/AGENDApacket_03-17-26_0635_944.pdf__agenda_packet,2026-03-17,2026,destinyhosted,agenda_packet,other,DOWNLOAD PDF PACKET
added,laserfiche__547235__minutes,2026-03-03,2026,laserfiche,minutes,regular,03-03-2026 Minutes
added,destinyhosted__20260303_944/AGENDApacket_03-03-26_0518_943.pdf__agenda_packet,2026-03-03,2026,destinyhosted,agenda_packet,other,DOWNLOAD PDF PACKET
added,destinyhosted__20260303_944/943_03-03-2026%20Minutes.pdf__minutes,2026-03-03,2026,destinyhosted,minutes,other,Minutes
added,laserfiche__547150__minutes,2026-02-17,2026,laserfiche,minutes,regular,02-17-2026 Minutes
added,destinyhosted__20260217_942/AGENDApacket_02-17-26_0100_941.pdf__agenda_packet,2026-02-17,2026,destinyhosted,agenda_packet,other,DOWNLOAD PDF PACKET
added,destinyhosted__20260217_942/941_02-17-2026%20Minutes.pdf__minutes,2026-02-17,2026,destinyhosted,minutes,regular,Minutes for City Council Regular Meeting 02-17-2026 (02/17/2026)
added,laserfiche__547149__minutes,2026-02-09,2026,laserfiche,minutes,special,02-09-2026 Council Meeting Canvassing
added,destinyhosted__20260209_955/AGENDApacket_02-09-26_0238_954.pdf__agenda_packet,2026-02-09,2026,destinyhosted,agenda_packet,other,DOWNLOAD PDF PACKET
added,destinyhosted__20260209_955/954_02-09-2026%20Council%20Meeting%20Canvassing.pdf__minutes,2026-02-09,2026,destinyhosted,minutes,other,"Minutes for City Council Canvassing Meeting <br> February 9, 2026 (02/09/2026)"
added,laserfiche__547147__minutes,2026-02-06,2026,laserfiche,minutes,special,02-06-2026 Special Strategic Planning Meeting Minutes
added,destinyhosted__20260206_957/AGENDApacket_02-06-26_0530_956.pdf__agenda_packet,2026-02-06,2026,destinyhosted,agenda_packet,other,DOWNLOAD PDF PACKET
added,destinyhosted__20260206_957/956_02-06-2026%20Special%20Strategic%20Planning%20Meeting%20Minutes.pdf__minutes,2026-02-06,2026,destinyhosted,minutes,special,Minutes for Strategic Planning City Council <br> & Staff Meeting (02/06/2026)
added,laserfiche__546669__minutes,2026-02-03,2026,laserfiche,minutes,regular,02-03-2026 Minutes
added,destinyhosted__20260203_933/AGENDApacket_02-03-26_0449_932.pdf__agenda_packet,2026-02-03,2026,destinyhosted,agenda_packet,other,DOWNLOAD PDF PACKET
added,destinyhosted__20260203_933/932_02-03-2026%20Minutes.pdf__minutes,2026-02-03,2026,destinyhosted,minutes,regular,Minutes for City Council Regular Meeting 02-03-2026 (02/03/2026)
added,laserfiche__546566__minutes,2026-01-20,2026,laserfiche,minutes,regular,01-20-2026 Minutes
added,destinyhosted__20260120_910/AGENDApacket_01-20-26_0610_909.pdf__agenda_packet,2026-01-20,2026,destinyhosted,agenda_packet,other,DOWNLOAD PDF PACKET
added,destinyhosted__20260120_910/909_1-20-2026%20Minutes.pdf__minutes,2026-01-20,2026,destinyhosted,minutes,other,Minutes
added,laserfiche__546331__minutes,2026-01-06,2026,laserfiche,minutes,regular,01-06-2026 Minutes
added,destinyhosted__20260106_900/AGENDApacket__01-06-26_0603_899.pdf__agenda_packet,2026-01-06,2026,destinyhosted,agenda_packet,other,DOWNLOAD PDF PACKET
added,destinyhosted__20260106_900/899_1-06-2026%20Minutes.pdf__minutes,2026-01-06,2026,destinyhosted,minutes,other,Minutes
added,laserfiche__546332__minutes,2025-12-30,2026,laserfiche,minutes,special,12-30-2025 Special Meeting
added,destinyhosted__20251219_929/AGENDApacket__12-30-25_0503_928.pdf__agenda_packet,2025-12-30,2026,destinyhosted,agenda_packet,other,DOWNLOAD PDF PACKET
added,destinyhosted__20251219_929/928_12-30-2025%20Special%20Meeting.pdf__minutes,2025-12-30,2026,destinyhosted,minutes,special,Minutes
added,laserfiche__546136__minutes,2025-12-16,2026,laserfiche,minutes,regular,12-16-2025 Minutes
added,destinyhosted__20251216_899/AGENDApacket__12-16-25_0507_898.pdf__agenda_packet,2025-12-16,2026,destinyhosted,agenda_packet,other,DOWNLOAD PDF PACKET
added,destinyhosted__20251216_899/898_12-16-2025%20Minutes.pdf__minutes,2025-12-16,2026,destinyhosted,minutes,other,Minutes
added,laserfiche__545990__minutes,2025-12-02,2026,laserfiche,minutes,workshop,12-02-2025 Council Workshop Minutes
added,destinyhosted__20251202_898/AGENDApacket__12-02-25_0553_897.pdf__agenda_packet,2025-12-02,2026,destinyhosted,agenda_packet,other,DOWNLOAD PDF PACKET
added,destinyhosted__20251202_905/AGENDApacket__12-02-25_0605_904.pdf__agenda_packet,2025-12-02,2026,destinyhosted,agenda_packet,other,DOWNLOAD PDF PACKET
added,destinyhosted__20251202_898/897_12-02-2025%20Minutes%20(2).pdf__minutes,2025-12-02,2026,destinyhosted,minutes,other,Minutes
added,laserfiche__545680__minutes,2025-11-18,2026,laserfiche,minutes,regular,11-18-2025 Minutes
added,destinyhosted__20251118_870/AGENDApacket__11-18-25_0642_869.pdf__agenda_packet,2025-11-18,2026,destinyhosted,agenda_packet,other,DOWNLOAD PDF PACKET
added,destinyhosted__20251118_870/869_11-18-2025%20Minutes.pdf__minutes,2025-11-18,2026,destinyhosted,minutes,other,Minutes
added,laserfiche__545682__minutes,2025-11-17,2026,laserfiche,minutes,other,11-17-2025 Council Meeting Cavassing
added,destinyhosted__20251117_912/AGENDApacket__11-17-25_0620_911.pdf__agenda_packet,2025-11-17,2026,destinyhosted,agenda_packet,other,DOWNLOAD PDF PACKET
added,destinyhosted__20251117_912/911_11-17-2025%20Council%20Meeting%20Cavassing.pdf__minutes,2025-11-17,2026,destinyhosted,minutes,other,Minutes
added,laserfiche__545681__minutes,2025-11-03,2026,laserfiche,minutes,special,11-03-2025 Special Meeting
added,destinyhosted__20251103_907/AGENDApacket__11-03-25_0515_906.pdf__agenda_packet,2025-11-03,2026,destinyhosted,agenda_packet,other,DOWNLOAD PDF PACKET
added,destinyhosted__20251103_907/906_11-03-2025%20Special%20Meeting.pdf__minutes,2025-11-03,2026,destinyhosted,minutes,special,Minutes
added,laserfiche__545545__minutes,2025-10-21,2026,laserfiche,minutes,regular,10-21-2025  Minutes
added,destinyhosted__20251021_869/AGENDApacket__10-21-25_0653_868.pdf__agenda_packet,2025-10-21,2026,destinyhosted,agenda_packet,other,DOWNLOAD PDF PACKET
added,destinyhosted__20251021_869/868_10-21-2025%20%20Minutes.pdf__minutes,2025-10-21,2026,destinyhosted,minutes,other,Minutes
added,laserfiche__544879__minutes,2025-10-14,2026,laserfiche,minutes,regular,10-14-2025 Minutes
added,destinyhosted__20251014_868/AGENDApacket__10-14-25_0501_867.pdf__agenda_packet,2025-10-14,2026,destinyhosted,agenda_packet,other,DOWNLOAD PDF PACKET
added,destinyhosted__20251014_868/867_10-14-2025%20Minutes.pdf__minutes,2025-10-14,2026,destinyhosted,minutes,other,Minutes
added,laserfiche__544778__minutes,2025-09-23,2025,laserfiche,minutes,special,09-23-2025 Special Session Minutes
added,destinyhosted__20250923_892/AGENDApacket__09-23-25_0456_891.pdf__agenda_packet,2025-09-23,2025,destinyhosted,agenda_packet,other,DOWNLOAD PDF PACKET
added,laserfiche__544777__minutes,2025-09-16,2025,laserfiche,minutes,workshop,09-16-2025 Council Workshop Minutes
